iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,20,cc83be85db391e9396e1427b3e124968,44.75059151649475
1,1,20,20,cc83be85db391e9396e1427b3e124968,44.905890703201294
2,1,20,20,cc83be85db391e9396e1427b3e124968,45.03984308242798
3,1,20,20,cc83be85db391e9396e1427b3e124968,44.24168848991394
4,1,20,20,cc83be85db391e9396e1427b3e124968,44.48530101776123
0,1,20,40,cc83be85db391e9396e1427b3e124968,43.0841908454895
1,1,20,40,cc83be85db391e9396e1427b3e124968,43.19436979293823
2,1,20,40,cc83be85db391e9396e1427b3e124968,43.73273515701294
3,1,20,40,cc83be85db391e9396e1427b3e124968,43.869216442108154
4,1,20,40,cc83be85db391e9396e1427b3e124968,42.98436093330383
0,1,20,60,cc83be85db391e9396e1427b3e124968,47.401429176330566
1,1,20,60,cc83be85db391e9396e1427b3e124968,47.99439096450806
2,1,20,60,cc83be85db391e9396e1427b3e124968,46.465216398239136
3,1,20,60,cc83be85db391e9396e1427b3e124968,48.08958721160889
4,1,20,60,cc83be85db391e9396e1427b3e124968,48.18413519859314
0,1,20,80,cc83be85db391e9396e1427b3e124968,52.79273986816406
1,1,20,80,cc83be85db391e9396e1427b3e124968,52.417211055755615
2,1,20,80,cc83be85db391e9396e1427b3e124968,52.3949716091156
3,1,20,80,cc83be85db391e9396e1427b3e124968,53.040380239486694
4,1,20,80,cc83be85db391e9396e1427b3e124968,53.005263805389404
0,1,20,100,cc83be85db391e9396e1427b3e124968,58.85188102722168
1,1,20,100,cc83be85db391e9396e1427b3e124968,58.48008728027344
2,1,20,100,cc83be85db391e9396e1427b3e124968,58.87759065628052
3,1,20,100,cc83be85db391e9396e1427b3e124968,57.54196286201477
4,1,20,100,cc83be85db391e9396e1427b3e124968,57.642916202545166
