time,state,cwnd,ssthresh,bytes_in_flight,rtt,dup_acks
0.006,SLOW_START,1180,75520,1180,0.500,0
0.013,SLOW_START,1180,75520,1180,0.500,0
0.022,SLOW_START,1180,75520,1180,0.500,0
0.030,SLOW_START,1180,75520,1180,0.500,0
0.039,SLOW_START,1180,75520,1180,0.500,0
0.045,SLOW_START,2360,75520,0,0.443,0
0.054,SLOW_START,2360,75520,2360,0.443,0
0.063,SLOW_START,2360,75520,2360,0.443,0
0.071,SLOW_START,2360,75520,2360,0.443,0
0.079,SLOW_START,2360,75520,2360,0.443,0
0.087,SLOW_START,2360,75520,2360,0.443,0
0.094,SLOW_START,4720,75520,4720,0.393,0
0.100,SLOW_START,4720,75520,4720,0.393,0
0.108,SLOW_START,4720,75520,4720,0.393,0
0.115,SLOW_START,4720,75520,4720,0.393,0
0.125,SLOW_START,4720,75520,4720,0.393,0
0.141,SLOW_START,8260,75520,8260,0.349,0
0.154,SLOW_START,8260,75520,8260,0.349,0
0.162,SLOW_START,8260,75520,8260,0.349,0
0.169,SLOW_START,8260,75520,8260,0.349,0
0.178,SLOW_START,8260,75520,8260,0.349,0
0.185,SLOW_START,12980,75520,12980,0.311,0
0.192,SLOW_START,12980,75520,12980,0.311,0
0.199,SLOW_START,12980,75520,12980,0.311,0
0.204,SLOW_START,12980,75520,12980,0.311,0
0.210,SLOW_START,12980,75520,12980,0.311,0
0.217,SLOW_START,12980,75520,12980,0.311,0
0.224,SLOW_START,12980,75520,12980,0.311,0
0.230,SLOW_START,25960,75520,25960,0.248,0
0.238,SLOW_START,25960,75520,25960,0.248,0
0.247,SLOW_START,25960,75520,25960,0.248,0
0.257,SLOW_START,25960,75520,25960,0.248,0
0.264,SLOW_START,25960,75520,25960,0.248,0
0.276,SLOW_START,25960,75520,25960,0.248,0
0.285,SLOW_START,43660,75520,43660,0.202,0
0.291,SLOW_START,43660,75520,43660,0.202,0
0.299,SLOW_START,43660,75520,43660,0.202,0
0.305,SLOW_START,43660,75520,43660,0.202,0
0.311,SLOW_START,43660,75520,43660,0.202,0
0.321,SLOW_START,43660,75520,43660,0.202,0
0.332,CONGESTION_AVOIDANCE,79060,75520,79060,0.152,0
0.342,CONGESTION_AVOIDANCE,79060,75520,79060,0.152,0
0.351,CONGESTION_AVOIDANCE,79060,75520,79060,0.152,0
0.358,CONGESTION_AVOIDANCE,79060,75520,79060,0.152,0
0.364,CONGESTION_AVOIDANCE,79060,75520,79060,0.152,0
0.370,CONGESTION_AVOIDANCE,79060,75520,79060,0.152,0
0.377,CONGESTION_AVOIDANCE,79060,75520,79060,0.152,0
0.385,CONGESTION_AVOIDANCE,79745,75520,47200,0.119,0
0.392,CONGESTION_AVOIDANCE,80007,75520,79060,0.112,0
0.399,CONGESTION_AVOIDANCE,80007,75520,79060,0.112,0
0.405,CONGESTION_AVOIDANCE,80007,75520,79060,0.112,0
0.411,CONGESTION_AVOIDANCE,80007,75520,79060,0.112,0
0.419,CONGESTION_AVOIDANCE,80007,75520,79060,0.112,0
0.428,CONGESTION_AVOIDANCE,80285,75520,80240,0.103,0
0.440,CONGESTION_AVOIDANCE,80891,75520,80240,0.089,0
0.446,CONGESTION_AVOIDANCE,80891,75520,80240,0.089,0
0.452,CONGESTION_AVOIDANCE,80891,75520,80240,0.089,0
0.459,CONGESTION_AVOIDANCE,80891,75520,80240,0.089,0
0.467,CONGESTION_AVOIDANCE,80891,75520,80240,0.089,0
0.474,CONGESTION_AVOIDANCE,81218,75520,80240,0.084,0
0.481,CONGESTION_AVOIDANCE,81920,75520,81420,0.075,0
0.493,CONGESTION_AVOIDANCE,81920,75520,81420,0.075,0
0.500,CONGESTION_AVOIDANCE,81920,75520,81420,0.075,0
0.509,CONGESTION_AVOIDANCE,81920,75520,81420,0.075,0
0.515,CONGESTION_AVOIDANCE,81920,75520,81420,0.075,0
0.522,CONGESTION_AVOIDANCE,82294,75520,55460,0.072,0
0.530,CONGESTION_AVOIDANCE,83087,75520,54280,0.066,0
0.538,CONGESTION_AVOIDANCE,83087,75520,82600,0.066,0
0.545,CONGESTION_AVOIDANCE,83087,75520,82600,0.066,0
0.551,CONGESTION_AVOIDANCE,83087,75520,82600,0.066,0
0.557,CONGESTION_AVOIDANCE,83087,75520,82600,0.066,0
0.564,CONGESTION_AVOIDANCE,83087,75520,82600,0.066,0
0.571,CONGESTION_AVOIDANCE,83506,75520,53100,0.063,0
0.582,CONGESTION_AVOIDANCE,83939,75520,83780,0.061,0
0.590,CONGESTION_AVOIDANCE,83939,75520,83780,0.061,0
0.598,CONGESTION_AVOIDANCE,83939,75520,83780,0.061,0
0.605,CONGESTION_AVOIDANCE,83939,75520,83780,0.061,0
0.621,CONGESTION_AVOIDANCE,84849,75520,50740,0.057,0
0.632,CONGESTION_AVOIDANCE,84849,75520,83780,0.057,0
0.639,CONGESTION_AVOIDANCE,84849,75520,83780,0.057,0
0.646,CONGESTION_AVOIDANCE,84849,75520,83780,0.057,0
0.652,CONGESTION_AVOIDANCE,84849,75520,83780,0.057,0
0.658,CONGESTION_AVOIDANCE,84849,75520,83780,0.057,0
0.667,CONGESTION_AVOIDANCE,85325,75520,49560,0.056,0
0.676,CONGESTION_AVOIDANCE,85815,75520,84960,0.055,0
0.681,CONGESTION_AVOIDANCE,85815,75520,84960,0.055,0
0.687,CONGESTION_AVOIDANCE,85815,75520,84960,0.055,0
0.693,CONGESTION_AVOIDANCE,85815,75520,84960,0.055,0
0.705,CONGESTION_AVOIDANCE,85815,75520,84960,0.055,0
0.714,CONGESTION_AVOIDANCE,85815,75520,84960,0.055,0
0.727,CONGESTION_AVOIDANCE,86785,75520,86140,0.054,0
0.734,CONGESTION_AVOIDANCE,86785,75520,86140,0.054,0
0.743,CONGESTION_AVOIDANCE,86785,75520,86140,0.054,0
0.749,CONGESTION_AVOIDANCE,86785,75520,86140,0.054,0
0.764,CONGESTION_AVOIDANCE,86785,75520,86140,0.054,0
0.771,CONGESTION_AVOIDANCE,86785,75520,86140,0.054,0
0.782,CONGESTION_AVOIDANCE,87745,75520,87320,0.053,0
0.789,CONGESTION_AVOIDANCE,87745,75520,87320,0.053,0
0.796,CONGESTION_AVOIDANCE,87745,75520,87320,0.053,0
0.806,CONGESTION_AVOIDANCE,87745,75520,87320,0.053,0
0.811,CONGESTION_AVOIDANCE,87745,75520,87320,0.053,0
0.818,CONGESTION_AVOIDANCE,87745,75520,87320,0.053,0
0.826,CONGESTION_AVOIDANCE,88695,75520,51920,0.052,0
0.835,CONGESTION_AVOIDANCE,88695,75520,88500,0.052,0
0.841,CONGESTION_AVOIDANCE,88695,75520,88500,0.052,0
0.847,CONGESTION_AVOIDANCE,88695,75520,88500,0.052,0
0.853,CONGESTION_AVOIDANCE,88695,75520,88500,0.052,0
0.861,CONGESTION_AVOIDANCE,88695,75520,88500,0.052,0
0.869,CONGESTION_AVOIDANCE,88695,75520,88500,0.052,0
0.876,CONGESTION_AVOIDANCE,89634,75520,88500,0.050,0
