bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.058913,10.070444,32317690,32317690,25.702730,25.673300,0.513760,1.000000
200,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.051275,10.056557,32317690,32317690,25.722262,25.708750,0.257155,1.000000
300,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.049633,10.054528,32317690,32317690,25.726463,25.713938,0.171468,1.000000
400,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.053992,10.064286,32317690,32317690,25.715309,25.689007,0.128511,1.000000
500,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.153817,10.146275,32317690,32317690,25.462496,25.481424,0.101888,1.000000
600,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.060961,10.072742,32317690,32317690,25.697497,25.667443,0.085608,1.000000
700,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.073203,10.058466,32317690,32317690,25.666266,25.703872,0.073386,0.999999
800,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.074655,10.083806,32317690,32317690,25.662568,25.639280,0.064127,1.000000
900,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.093601,10.103825,32317690,32317690,25.614398,25.588480,0.056892,1.000000
1000,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.067235,10.077459,32317690,32317690,25.681483,25.655428,0.051337,1.000000
